955,1145,2865,1063,1448,2859,1182,1143,2888,922,1825,2974,997,1780,1815,1126,1346,2563,1171,1249,1715,892,1592,2037,940,1386,2840,1026,2096,3176,1084,1212,2669,1103,1626,3116,941,1413,2389,1057,1487,2543,972,1874,3237,1060,1817,2992,1076,1308,2372,1024,1488,2949,936,2597,2942,4757,2861,3190,3181,2459,3003,3348,3482,2621,3124,3385,3649,2733,3008,3310,3379,2637,3054,3676,4186,2872,2345,2751,1852,1927,3528,4098,5416,3221,3191,3614,3924,2869,3
4604,4821,15972,4257,5015,6391,6019,4511,10295,5331,8236,12863,4599,10735,6057,5204,3168,12422,5397,5401,5128,4526,8085,4296,3888,6505,15500,4202,11483,12880,11483,8674,16804,4915,7478,16744,4099,5206,7124,8111,7965,18414,3757,7984,16130,5177,8365,16587,4382,6228,9985,4808,7535,17498,2411,9185,10312,20877,13944,14523,14763,11668,16695,13628,16872,14173,16123,19205,16470,12113,13012,16111,16933,12726,17037,26182,20450,17795,13762,13950,3409,12104,15925,18554,27959,14735,14989,25796,14972,15694,330
15014,14274,86175,13837,15590,19873,26028,7394,56443,18810,40543,66890,23541,44885,23505,27335,10725,88215,23032,29023,20517,13108,28535,16602,13668,27342,56892,19934,40821,36600,57863,39243,105781,14361,37624,96799,14520,18475,32319,28012,33706,113688,14411,41142,104949,17641,50636,80001,13562,34997,34639,17532,35423,102839,6442,34521,39892,81521,49414,59723,67452,28776,71117,43342,82010,53471,59094,85581,62447,43919,28729,77602,72743,51414,46801,96370,80932,61142,50542,35363,18292,66423,76754,97947,412793,69821,55015,151419,57449,51683,1788
57612,43731,463211,53474,53140,92098,105489,24046,272967,59129,124903,435503,85527,171544,99679,119190,50508,548698,69829,105488,121213,69963,123405,58241,58808,110355,125826,77449,139998,148178,193696,125249,587910,54324,151255,500669,44050,57413,110723,91268,138131,699060,70477,128560,643478,59707,185099,479522,57218,145167,116928,63233,128810,586041,20248,129180,127529,462337,189326,452870,473415,81638,420439,345992,382226,266506,214131,507725,363050,183243,112003,415307,458035,376893,128544,436510,470029,353788,256305,309926,84533,367362,498148,559567,1384145,510715,297917,755929,413270,115342,6047
210069,157702,1531515,148682,157042,564615,334773,67598,766093,143325,536516,1465289,13924,646979,591787,428503,174972,1931476,118636,527466,624363,27460,523876,117277,231509,553724,484273,278785,565886,636667,605026,495462,1896923,252116,576111,1465284,109174,148786,593861,397075,622585,2700420,218829,602571,2376839,224711,656319,1485812,251353,633466,491755,158561,511727,1872018,62412,591936,594715,1188411,481822,1456799,1410157,429121,1212349,1044382,1096833,753423,399736,1611489,1106505,433919,415086,1261504,1370977,1138374,486883,1257269,1407701,1026778,461946,1034593,567029,1112516,1500697,1709755,4040166,1672603,918174,2548332,1347498,334699,35714
551761,677379,4352668,489248,611673,2126895,859330,185614,2195176,634601,2437172,4512604,270010,1713328,2018715,1415129,672155,5487306,389148,1843957,2183630,252220,1673236,632263,543550,1739264,1450022,831519,1833041,2220123,1827663,1411402,5730638,652923,1678994,3762655,423552,559767,2196270,1232965,1848958,8237563,558912,1940010,7132450,558066,2022484,4021182,587794,1929500,1390871,401833,1527082,5031882,136304,1679763,1720318,2859530,1283349,4133507,3708078,1285644,3134903,2839986,2860270,1939271,951884,4553415,2978156,1102439,1190761,3337367,3562766,3045785,1404048,3210284,3689262,2732508,885240,2952000,1922406,3003510,4044924,4655952,9742206,4847067,2542758,7387376,3809039,865523,100000000
1330472,2318974,10571321,1484406,2197334,6599517,2365352,577793,6020464,2239695,7769701,11697838,541880,4468007,5818790,3796040,1516034,14959426,1107912,5056286,6473570,661122,4460744,2272803,1275801,4674643,3678023,2103446,5073680,6564375,4938152,3954718,17556461,1686623,4289216,8696398,1206789,1689581,6549626,3294435,4573085,22667527,1520696,5281220,21112771,1402969,5468139,9401100,1473375,5045099,3555429,987876,3928605,11606386,467399,4272482,4436279,7018391,3169874,9795658,8565641,3406327,7718968,7331505,7250468,4367776,2060768,10646432,7505500,2639388,3076088,7915441,8012823,7647205,3600224,7660592,8365644,7072714,1816949,7671822,5757150,7685730,9669868,10766375,22566540,12925767,6754467,21088379,8965967,2023151,100000000
3156845,6780287,23767530,3651435,6438115,19936910,5399507,1247762,16234264,6552152,22209889,25497108,1317428,9981224,17104550,9064082,3180921,30687934,2642620,11409522,19354021,1605856,10135510,6800557,2968584,10549089,8480871,4639325,11857677,19635935,11580571,9491554,85074264,3971350,9511911,22126307,3024708,4321405,19654431,8164471,10593378,100000000,3687531,12118161,100000000,3340257,12970970,22699302,3509407,11102281,8371106,2233559,8984861,24072538,1232958,9716829,10065277,20002006,7674832,22638704,21713340,8210432,21232298,20708749,20536076,8675819,3988193,22691329,20832290,5508934,7612371,20983369,20668063,21131918,8319819,20798864,21203223,20176853,3802843,21192502,17751814,21456616,23630185,23298410,100000000,28878518,19431757,100000000,21791327,4078470,100000000
7591303,20103978,100000000,8436387,19207242,95800198,10194583,2931508,31860120,19361008,100000000,100000000,3336249,22863606,45224871,22768838,7428843,100000000,6195071,23686713,92944109,3679717,23037498,20314398,7143462,23211291,21952036,9292292,24210596,94194460,24644539,22917357,100000000,8822800,22520203,100000000,7405733,9601653,94362192,22019445,23441329,100000000,8498436,24151959,100000000,7883812,24830301,100000000,8228294,23349832,21904403,4531710,22356733,100000000,3022913,23319137,23453293,100000000,21060742,100000000,100000000,21734143,100000000,100000000,100000000,21423999,8171106,100000000,100000000,8697826,21075133,100000000,100000000,100000000,21536248,100000000,100000000,96960821,8408842,100000000,66471678,100000000,100000000,100000000,100000000,100000000,92375604,100000000,100000000,8111941,100000000
20735816,96205044,100000000,22129718,92314754,100000000,22831814,7544038,100000000,91267229,100000000,100000000,7999819,100000000,100000000,100000000,20399531,100000000,12109122,100000000,100000000,8377750,100000000,97181217,19777007,100000000,100000000,22501070,100000000,100000000,100000000,100000000,100000000,22384981,100000000,100000000,20420042,22615901,100000000,100000000,100000000,100000000,22171736,100000000,100000000,21269961,100000000,100000000,21982265,100000000,100000000,8927946,100000000,100000000,7340343,100000000,100000000,100000000,98216484,100000000,100000000,100000000,100000000,100000000,100000000,100000000,21399245,100000000,100000000,21254340,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,22057854,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,21102806,100000000
95420839,100000000,100000000,100000000,100000000,100000000,100000000,21034335,100000000,100000000,100000000,100000000,21611060,100000000,100000000,100000000,95287973,100000000,23459358,100000000,100000000,22057207,100000000,100000000,91829922,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,94407699,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,97339655,100000000,100000000,100000000,100000000,100000000,22252780,100000000,100000000,20188577,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,99510685,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
100000000,100000000,100000000,100000000,100000000,100000000,100000000,98133068,100000000,100000000,100000000,100000000,98838375,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,92861953,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
